X,Y,Z,Rx,Ry,Rz
1016.317,-96.998,-137.037,151.0774,-25.1342,-138.0122
1016.317,-96.998,-137.037,151.0774,-25.1342,-138.0122
1016.317,-96.998,-137.037,151.0774,-25.1342,-138.0122
1016.317,-96.998,-137.037,151.0774,-25.1342,-138.0122
1016.319,-96.986,-137.017,151.0807,-25.1366,-138.0123
1016.313,-96.692,-137.001,151.082,-25.1384,-138.0128
1016.308,-96.622,-137.003,151.0806,-25.1388,-138.0122
1016.306,-96.554,-137.01,151.0798,-25.1385,-138.0117
1016.31,-96.504,-137.002,151.0808,-25.1376,-138.0121
1016.305,-96.435,-137.003,151.0795,-25.1381,-138.0115
1016.308,-96.373,-137.007,151.0818,-25.1387,-138.0128
1016.303,-96.304,-137.008,151.0805,-25.1392,-138.0122
1016.304,-96.223,-137.004,151.0803,-25.1383,-138.0112
1016.303,-96.154,-137.002,151.0813,-25.1391,-138.0127
1016.302,-96.085,-137.01,151.0805,-25.1388,-138.0122
1016.303,-96.005,-137.006,151.0803,-25.1378,-138.0112
1016.302,-95.936,-137.005,151.0814,-25.1387,-138.0126
1016.296,-95.648,-137.008,151.0801,-25.1387,-138.012
1016.295,-95.598,-137.003,151.0806,-25.1384,-138.0122
1016.298,-95.53,-137.007,151.0804,-25.1375,-138.0119
1016.292,-95.479,-137.007,151.0797,-25.1386,-138.0118
1016.295,-95.411,-137.012,151.0794,-25.1377,-138.0115
1016.291,-95.13,-137.003,151.0813,-25.1387,-138.0126
1016.289,-95.08,-137.009,151.0813,-25.1389,-138.0126
1016.287,-95.011,-137.007,151.0804,-25.1389,-138.0122
1016.291,-94.949,-137.01,151.0809,-25.1386,-138.0117
1016.29,-94.893,-137.006,151.0807,-25.1377,-138.0121
1016.283,-94.605,-137.01,151.0794,-25.1377,-138.0115
1016.283,-94.524,-137.008,151.0804,-25.1386,-138.0122
1016.283,-94.474,-137.003,151.0809,-25.1382,-138.0124
1016.285,-94.425,-137.006,151.0814,-25.1379,-138.0126
1016.28,-94.343,-137.007,151.08,-25.1384,-138.0113
1016.276,-94.086,-137.006,151.0799,-25.1385,-138.012
1016.275,-94.024,-137.012,151.0799,-25.1388,-138.0113
1016.28,-93.956,-137.005,151.0802,-25.1373,-138.0112
1016.274,-93.905,-137.005,151.0795,-25.1384,-138.0111
1016.272,-93.837,-137.013,151.0807,-25.139,-138.0124
1016.27,-93.787,-137.01,151.0805,-25.1395,-138.0125
1016.271,-93.468,-136.999,151.0796,-25.1379,-138.0112
1016.269,-93.419,-137.006,151.0815,-25.139,-138.0129
1016.267,-93.35,-137.014,151.0807,-25.1387,-138.0124
1016.268,-93.281,-137.0,151.0804,-25.138,-138.0123
1016.267,-93.219,-137.007,151.0803,-25.1383,-138.0115
1016.265,-92.919,-137.007,151.0814,-25.1387,-138.0122
1016.259,-92.85,-137.008,151.0801,-25.1392,-138.0116
1016.263,-92.794,-137.001,151.0804,-25.1378,-138.0122
1016.262,-92.732,-137.007,151.0803,-25.138,-138.0115
1016.259,-92.675,-137.005,151.0795,-25.1379,-138.0118
1016.253,-92.375,-137.009,151.08,-25.1389,-138.0123
1016.258,-92.313,-137.0,151.0811,-25.1381,-138.012
1016.255,-92.276,-137.007,151.081,-25.1383,-138.0126
1016.254,-92.207,-137.005,151.0802,-25.1383,-138.0123
1016.252,-92.145,-137.011,151.0801,-25.1385,-138.0115
1016.251,-91.845,-137.011,151.0812,-25.139,-138.0122
1016.25,-91.788,-136.997,151.0809,-25.1383,-138.0128
1016.249,-91.726,-137.004,151.0809,-25.1386,-138.012
1016.246,-91.67,-137.012,151.0801,-25.1382,-138.0122
1016.245,-91.607,-137.008,151.0799,-25.1388,-138.0116
1016.245,-91.307,-136.997,151.0816,-25.1387,-138.0125
1016.242,-91.251,-137.005,151.0808,-25.1383,-138.0127
1016.241,-91.188,-137.001,151.0807,-25.1389,-138.0121
1016.239,-91.12,-137.009,151.0799,-25.1385,-138.0116
1016.242,-91.07,-137.012,151.0804,-25.1382,-138.0117
1016.235,-90.783,-137.003,151.0796,-25.1377,-138.0113
1016.234,-90.714,-137.002,151.0807,-25.1386,-138.0128
1016.238,-90.652,-137.004,151.0811,-25.1383,-138.0123
1016.232,-90.582,-137.006,151.0797,-25.1388,-138.0117
1016.232,-90.52,-137.001,151.0803,-25.1385,-138.0112
1016.228,-90.245,-137.0,151.0794,-25.138,-138.0114
1016.231,-90.184,-137.004,151.0818,-25.1387,-138.0127
1016.225,-90.114,-137.005,151.0804,-25.1391,-138.0121
1016.228,-90.046,-137.009,151.0802,-25.1383,-138.0118
1016.227,-89.996,-137.004,151.0807,-25.1379,-138.012
1016.226,-89.728,-137.011,151.0806,-25.1381,-138.012
1016.222,-89.658,-137.0,151.0797,-25.138,-138.0117
1016.225,-89.596,-137.003,151.0802,-25.1378,-138.0111
1016.219,-89.527,-137.005,151.0807,-25.1392,-138.0124
1016.221,-89.478,-137.008,151.0812,-25.1389,-138.0125
1016.218,-89.178,-137.007,151.0804,-25.1384,-138.0114
1016.217,-89.122,-137.004,151.0802,-25.1375,-138.0118
1016.216,-89.053,-137.002,151.0812,-25.1384,-138.0132
1016.218,-89.009,-137.003,151.0805,-25.1378,-138.0114
1016.211,-88.952,-137.004,151.0791,-25.1383,-138.0115
1016.21,-88.89,-137.011,151.079,-25.1385,-138.0107
1016.209,-88.591,-136.999,151.0807,-25.1384,-138.0117
1016.211,-88.535,-137.003,151.0804,-25.1376,-138.012
1016.21,-88.472,-137.0,151.0803,-25.1381,-138.0115
1016.208,-88.403,-137.007,151.0795,-25.1378,-138.0109
1016.206,-88.353,-137.004,151.0813,-25.1392,-138.0128
1016.202,-88.065,-137.004,151.0805,-25.1388,-138.0124
1016.2,-88.016,-137.01,151.0804,-25.139,-138.0123
1016.204,-87.947,-137.003,151.0807,-25.1376,-138.0123
1016.199,-87.885,-137.003,151.08,-25.1387,-138.0115
1016.2,-87.828,-137.007,151.0798,-25.1378,-138.0119
1016.197,-87.529,-137.007,151.0809,-25.1383,-138.0125
1016.196,-87.466,-137.004,151.0807,-25.1388,-138.0119
1016.194,-87.398,-137.011,151.0799,-25.1385,-138.0114
1016.194,-87.347,-136.996,151.0804,-25.1385,-138.0118
1016.192,-87.279,-137.004,151.0796,-25.1381,-138.0112
1016.191,-87.01,-136.999,151.08,-25.1378,-138.0115
1016.19,-86.942,-137.007,151.0811,-25.1384,-138.0128
1016.189,-86.879,-137.003,151.081,-25.1389,-138.0122
1016.185,-86.823,-137.011,151.0802,-25.1386,-138.0123
1016.186,-86.76,-136.996,151.0806,-25.1385,-138.012
1016.183,-86.704,-137.003,151.0798,-25.1382,-138.0122
1016.185,-86.411,-136.998,151.0802,-25.1379,-138.011
1016.179,-86.342,-137.0,151.0808,-25.1392,-138.0123
1016.181,-86.273,-137.004,151.0805,-25.1384,-138.0119
1016.179,-86.205,-137.012,151.0797,-25.138,-138.0114
1016.177,-86.154,-137.008,151.0796,-25.1386,-138.0115
1016.173,-85.873,-137.006,151.0795,-25.1388,-138.0108
1016.174,-85.817,-137.01,151.0792,-25.1379,-138.0112
1016.176,-85.755,-136.996,151.0815,-25.1388,-138.0127
1016.173,-85.686,-137.003,151.0808,-25.1385,-138.0122
1016.175,-85.637,-137.006,151.0812,-25.1382,-138.0123
1016.17,-85.368,-137.004,151.0811,-25.1384,-138.0123
1016.17,-85.286,-137.002,151.0802,-25.1383,-138.0113
1016.166,-85.23,-137.01,151.0794,-25.138,-138.0114
1016.165,-85.167,-137.006,151.0793,-25.1385,-138.0109
1016.169,-85.112,-136.999,151.0815,-25.138,-138.0133
1016.163,-84.831,-137.009,151.0808,-25.1388,-138.0124
1016.166,-84.781,-137.0,151.0819,-25.1379,-138.0128
1016.16,-84.712,-137.001,151.0805,-25.1384,-138.0122
1016.162,-84.662,-137.004,151.0809,-25.1381,-138.0124
1016.16,-84.593,-137.002,151.08,-25.1381,-138.012
1016.159,-84.531,-137.008,151.08,-25.1384,-138.0112
1016.154,-84.225,-137.009,151.0803,-25.1383,-138.0121
1016.152,-84.174,-137.006,151.0802,-25.1388,-138.0122
1016.155,-84.112,-137.009,151.0806,-25.1386,-138.0117
1016.15,-84.055,-136.998,151.0798,-25.1385,-138.0121
1016.153,-83.993,-137.001,151.0803,-25.1382,-138.0115
1016.151,-83.694,-137.009,151.0813,-25.1388,-138.0122
1016.146,-83.637,-136.999,151.0805,-25.1387,-138.0125
1016.149,-83.575,-137.001,151.0809,-25.1384,-138.012
1016.145,-83.519,-137.009,151.0802,-25.1381,-138.0121
1016.144,-83.456,-137.006,151.08,-25.1386,-138.0116
1016.143,-83.187,-137.0,151.0804,-25.1383,-138.0118
1016.141,-83.138,-137.007,151.0803,-25.1386,-138.0117
1016.139,-83.069,-137.004,151.0795,-25.1385,-138.0114
1016.142,-82.988,-137.009,151.0811,-25.1386,-138.0122
1016.137,-82.931,-136.998,151.0803,-25.1385,-138.0125
1016.135,-82.631,-137.006,151.0794,-25.1381,-138.0114
1016.138,-82.569,-137.009,151.0798,-25.1379,-138.0108
1016.133,-82.513,-136.998,151.0809,-25.1387,-138.013
1016.135,-82.451,-137.001,151.0814,-25.1384,-138.0124
1016.128,-82.394,-137.002,151.08,-25.1389,-138.0126
1016.128,-82.113,-136.997,151.0804,-25.1386,-138.0121
1016.13,-82.044,-137.001,151.0801,-25.1377,-138.0118
1016.131,-81.995,-137.004,151.0806,-25.1375,-138.0119
1016.126,-81.932,-137.004,151.0799,-25.1386,-138.0111
1016.128,-81.864,-137.008,151.0796,-25.1377,-138.0108
1016.123,-81.576,-136.998,151.0806,-25.1385,-138.0123
1016.121,-81.507,-137.005,151.0798,-25.1382,-138.0118
1016.123,-81.445,-137.008,151.0803,-25.1379,-138.0113
1016.116,-81.388,-137.009,151.0789,-25.1384,-138.0114
1016.119,-81.326,-137.012,151.0793,-25.1382,-138.0108
1016.118,-81.27,-136.999,151.0809,-25.1385,-138.0132
1016.116,-80.976,-137.005,151.0807,-25.1387,-138.0118
1016.115,-80.92,-137.001,151.0805,-25.1378,-138.0122
1016.114,-80.858,-136.997,151.0804,-25.1384,-138.0116
1016.115,-80.801,-137.001,151.0801,-25.1375,-138.012
1016.108,-80.732,-137.002,151.0787,-25.138,-138.0114
1016.108,-80.433,-136.998,151.0803,-25.138,-138.0123
1016.111,-80.371,-137.001,151.0807,-25.1377,-138.0118
1016.108,-80.32,-136.998,151.0806,-25.1383,-138.0119
1016.106,-80.252,-137.005,151.0798,-25.138,-138.0113
1016.104,-80.201,-137.002,151.0796,-25.1385,-138.0114
1016.102,-79.933,-136.996,151.08,-25.1382,-138.0117
1016.104,-79.864,-137.0,151.0797,-25.1374,-138.0114
1016.097,-79.814,-137.0,151.0791,-25.1385,-138.0113
1016.099,-79.746,-137.004,151.0807,-25.1385,-138.0127
1016.102,-79.684,-137.007,151.0812,-25.1383,-138.0122
1016.096,-79.396,-136.996,151.0802,-25.1382,-138.0119
1016.094,-79.334,-137.003,151.0802,-25.1384,-138.0111
1016.095,-79.278,-137.007,151.0799,-25.1376,-138.0115
1016.094,-79.215,-137.003,151.0797,-25.1381,-138.0109
1016.096,-79.147,-137.008,151.0814,-25.1382,-138.0124
1016.089,-79.096,-137.007,151.0807,-25.1393,-138.0123
1016.088,-78.809,-137.003,151.0803,-25.1384,-138.0121
1016.089,-78.74,-137.007,151.0801,-25.1375,-138.0118
1016.087,-78.671,-137.005,151.0792,-25.1375,-138.0114
1016.086,-78.61,-137.011,151.081,-25.1387,-138.0124
1016.086,-78.54,-136.998,151.0807,-25.1381,-138.0123
1016.082,-78.272,-137.003,151.0805,-25.1384,-138.0123
1016.08,-78.209,-137.0,151.0804,-25.1389,-138.0117
1016.082,-78.14,-137.004,151.0801,-25.1381,-138.0114
1016.078,-78.084,-137.011,151.0793,-25.1377,-138.0115
1016.079,-78.021,-136.996,151.0797,-25.1377,-138.0112
