X,Y,Z,Rx,Ry,Rz
959.912,21.229,-164.953,175.9975,17.9492,58.6475
959.912,21.165,-164.953,175.9975,17.9492,58.6475
959.913,21.101,-164.953,175.9975,17.9492,58.6475
959.913,21.037,-164.953,175.9975,17.9492,58.6475
959.914,20.973,-164.953,175.9975,17.9492,58.6475
959.914,20.909,-164.953,175.9975,17.9492,58.6475
959.915,20.845,-164.953,175.9975,17.9492,58.6475
959.915,20.781,-164.952,175.9975,17.9492,58.6475
959.916,20.717,-164.952,175.9975,17.9492,58.6475
959.916,20.653,-164.952,175.9975,17.9492,58.6475
959.917,20.589,-164.952,175.9975,17.9492,58.6475
959.917,20.525,-164.952,175.9975,17.9492,58.6475
959.918,20.461,-164.952,175.9975,17.9492,58.6475
959.918,20.397,-164.952,175.9975,17.9492,58.6475
959.919,20.333,-164.952,175.9975,17.9492,58.6475
959.919,20.269,-164.952,175.9975,17.9492,58.6475
959.92,20.205,-164.952,175.9975,17.9492,58.6475
959.92,20.141,-164.952,175.9975,17.9492,58.6475
959.921,20.077,-164.952,175.9975,17.9492,58.6475
959.921,20.013,-164.952,175.9975,17.9492,58.6475
959.922,19.949,-164.952,175.9975,17.9492,58.6475
959.922,19.885,-164.952,175.9975,17.9492,58.6475
959.923,19.821,-164.951,175.9975,17.9492,58.6475
959.923,19.757,-164.951,175.9975,17.9492,58.6475
959.924,19.693,-164.951,175.9975,17.9492,58.6475
959.924,19.629,-164.951,175.9975,17.9492,58.6475
959.925,19.565,-164.951,175.9975,17.9492,58.6475
959.925,19.501,-164.951,175.9975,17.9492,58.6475
959.926,19.437,-164.951,175.9975,17.9492,58.6475
959.926,19.373,-164.951,175.9975,17.9492,58.6475
959.927,19.309,-164.951,175.9975,17.9492,58.6475
959.927,19.245,-164.951,175.9975,17.9492,58.6475
959.928,19.181,-164.951,175.9975,17.9492,58.6475
959.928,19.117,-164.951,175.9975,17.9492,58.6475
959.929,19.053,-164.951,175.9975,17.9492,58.6475
959.929,18.989,-164.951,175.9975,17.9492,58.6475
959.93,18.925,-164.951,175.9975,17.9492,58.6475
959.93,18.861,-164.95,175.9975,17.9492,58.6475
959.931,18.797,-164.95,175.9975,17.9492,58.6475
959.931,18.733,-164.95,175.9975,17.9492,58.6475
959.932,18.669,-164.95,175.9975,17.9492,58.6475
959.932,18.605,-164.95,175.9975,17.9492,58.6475
959.933,18.541,-164.95,175.9975,17.9492,58.6475
959.933,18.478,-164.95,175.9975,17.9492,58.6475
959.934,18.414,-164.95,175.9975,17.9492,58.6475
959.934,18.35,-164.95,175.9975,17.9492,58.6475
959.935,18.286,-164.95,175.9975,17.9492,58.6475
959.935,18.222,-164.95,175.9975,17.9492,58.6475
959.936,18.158,-164.95,175.9975,17.9492,58.6475
959.936,18.094,-164.95,175.9975,17.9492,58.6475
959.937,18.03,-164.95,175.9975,17.9492,58.6475
959.937,17.966,-164.95,175.9975,17.9492,58.6475
959.938,17.902,-164.949,175.9975,17.9492,58.6475
959.938,17.838,-164.949,175.9975,17.9492,58.6475
959.939,17.774,-164.949,175.9975,17.9492,58.6475
959.939,17.71,-164.949,175.9975,17.9492,58.6475
959.94,17.646,-164.949,175.9975,17.9492,58.6475
959.94,17.582,-164.949,175.9975,17.9492,58.6475
959.941,17.518,-164.949,175.9975,17.9492,58.6475
959.941,17.454,-164.949,175.9975,17.9492,58.6475
959.942,17.39,-164.949,175.9975,17.9492,58.6475
